Kelvin,p,density,v_liquid,v_gas,compressibility factor,h_liquid,h_gas,r,s_liquid,s_gas
441,0.272556711,636.415676,0.0015713,0.767774122,1,-138.6915935,145.7835117,-0.024123406,-0.297948128,0.347120138
442,0.281082179,635.5851964,0.001573353,0.745685799,1,-135.9274232,147.9958601,-0.023936844,-0.291690302,0.350670068
443,0.289823184,634.7531224,0.001575416,0.724348968,1,-133.1591174,150.2113023,-0.023748867,-0.285437353,0.354224994
444,0.298783739,633.9194363,0.001577488,0.703734281,1,-130.3866743,152.4298196,-0.023559452,-0.279189256,0.35778483
445,0.307967901,633.0841199,0.001579569,0.683813672,1,-127.6100919,154.6513933,-0.023368574,-0.272945987,0.361349486
446,0.31737977,632.2471553,0.00158166,0.664560297,1,-124.8293682,156.8760046,-0.02317621,-0.266707521,0.364918875
447,0.32702349,631.4085239,0.001583761,0.645948475,1,-122.0445012,159.1036347,-0.022982334,-0.260473835,0.368492912
448,0.336903246,630.5682074,0.001585871,0.627953633,1,-119.255489,161.3342645,-0.022786921,-0.254244903,0.372071511
449,0.347023267,629.7261871,0.001587992,0.610552252,1,-116.4623294,163.567875,-0.022589943,-0.248020702,0.375654586
450,0.357387826,628.882444,0.001590122,0.593721817,1,-113.6650205,165.804447,-0.022391375,-0.241801209,0.379242052
451,0.368001237,628.0369592,0.001592263,0.577440773,1,-110.8635602,168.0439613,-0.022191189,-0.235586399,0.382833826
452,0.378867859,627.1897133,0.001594414,0.561688477,1,-108.0579465,170.2863984,-0.021989357,-0.229376249,0.386429824
453,0.389992092,626.340687,0.001596575,0.546445155,1,-105.2481773,172.531739,-0.021785851,-0.223170736,0.390029962
454,0.401378379,625.4898605,0.001598747,0.531691864,1,-102.4342505,174.7799634,-0.021580642,-0.216969836,0.393634159
455,0.413031207,624.637214,0.001600929,0.517410453,1,-99.61616398,177.0310521,-0.021373701,-0.210773527,0.397242333
456,0.424955105,623.7827276,0.001603122,0.503583523,1,-96.79391558,179.2849852,-0.021164996,-0.204581785,0.400854401
457,0.437154643,622.9263808,0.001605326,0.490194399,1,-93.96750317,181.5417431,-0.020954498,-0.198394587,0.404470284
458,0.449634438,622.0681533,0.001607541,0.477227092,1,-91.13692454,183.8013056,-0.020742175,-0.192211911,0.408089901
459,0.462399144,621.2080243,0.001609767,0.464666267,1,-88.30217747,186.0636528,-0.020527994,-0.186033734,0.411713172
460,0.475453461,620.3459729,0.001612004,0.452497218,1,-85.46325974,188.3287645,-0.020311924,-0.179860034,0.415340018
461,0.488802132,619.4819781,0.001614252,0.440705837,1,-82.62016905,190.5966204,-0.020093929,-0.173690788,0.41897036
462,0.502449939,618.6160183,0.001616512,0.429278586,1,-79.77290311,192.8672003,-0.019873977,-0.167525974,0.42260412
463,0.51640171,617.7480719,0.001618783,0.418202474,1,-76.92145958,195.1404836,-0.019652031,-0.16136557,0.426241219
464,0.530662313,616.8781172,0.001621066,0.407465031,1,-74.06583608,197.4164498,-0.019428058,-0.155209553,0.42988158
465,0.545236659,616.0061321,0.00162336,0.397054284,1,-71.20603021,199.6950781,-0.019202019,-0.149057902,0.433525126
466,0.5601297,615.1320941,0.001625667,0.386958739,1,-68.34203952,201.9763478,-0.018973877,-0.142910595,0.437171782
467,0.575346433,614.2559806,0.001627986,0.377167355,1,-65.47386152,204.2602381,-0.018743596,-0.136767609,0.440821469
468,0.590891894,613.3777689,0.001630317,0.367669527,1,-62.60149369,206.5467277,-0.018511135,-0.130628923,0.444474114
469,0.606771162,612.4974357,0.00163266,0.358455068,1,-59.72493346,208.8357957,-0.018276455,-0.124494516,0.44812964
470,0.622989359,611.6149576,0.001635016,0.349514188,1,-56.84417821,211.1274208,-0.018039515,-0.118364365,0.451787973
471,0.639551647,610.730311,0.001637384,0.340837477,1,-53.95922529,213.4215815,-0.017800274,-0.112238449,0.455449039
472,0.656463231,609.843472,0.001639765,0.332415893,1,-51.07007199,215.7182564,-0.017558689,-0.106116747,0.459112762
473,0.673729358,608.9544162,0.001642159,0.324240739,1,-48.17671555,218.0174238,-0.017314717,-0.099999237,0.46277907
474,0.691355316,608.0631191,0.001644566,0.316303656,1,-45.27915317,220.319062,-0.017068313,-0.093885898,0.46644789
475,0.709346435,607.1695559,0.001646986,0.308596603,1,-42.37738198,222.6231492,-0.016819433,-0.087776708,0.470119147
476,0.727708086,606.2737015,0.00164942,0.301111844,1,-39.47139906,224.9296632,-0.016568029,-0.081671646,0.47379277
477,0.746445683,605.3755303,0.001651867,0.29384194,1,-36.56120145,227.2385819,-0.016314054,-0.075570691,0.477468687
478,0.76556468,604.4750166,0.001654328,0.28677973,1,-33.64678611,229.5498831,-0.01605746,-0.069473822,0.481146825
479,0.785070573,603.5721342,0.001656803,0.279918325,1,-30.72814995,231.8635444,-0.015798197,-0.063381017,0.484827113
480,0.804968899,602.6668569,0.001659292,0.273251091,1,-27.80528982,234.179543,-0.015536214,-0.057292255,0.48850948
481,0.825265238,601.7591577,0.001661794,0.266771643,1,-24.87820248,236.4978564,-0.01527146,-0.051207516,0.492193854
482,0.84596521,600.8490097,0.001664312,0.260473835,1,-21.94688467,238.8184617,-0.01500388,-0.045126777,0.495880166
483,0.867074477,599.9363852,0.001666843,0.254351746,1,-19.01133302,241.1413358,-0.01473342,-0.039050018,0.499568344
484,0.88859874,599.0212565,0.00166939,0.248399673,1,-16.0715441,243.4664555,-0.014460026,-0.032977218,0.503258318
485,0.910543745,598.1035955,0.001671951,0.242612123,1,-13.12751442,245.7937977,-0.014183639,-0.026908356,0.506950019
486,0.932915276,597.1833734,0.001674528,0.236983805,1,-10.1792404,248.1233386,-0.013904201,-0.020843411,0.510643377
